code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,5日涨幅,10日涨幅,20日涨幅,最新价格,限售股解禁
000511,*ST烯碳,矿物制品,辽宁,0.0,11.55,11.55,346274.91,312833.03,2405.45,29655.31,0.26,-0.109,0.87,0.0,19930518,-63425.48,-0.55,43.62,-55.46,0.22,-14.68,164822.0,12.479201331114808,11.001642036124794,15.358361774744017,6.76,N
000526,*ST紫学,文教休闲,福建,31.94,0.96,0.96,373749.47,166655.75,14803.67,5808.39,0.6,0.662,1.08,26.0,19931101,-5105.64,-0.53,178.83,278.9,31.12,2.79,14177.0,2.543290043290037,0.026392187912372685,-3.1928480204342273,37.9,N
000585,*ST东电,电气设备,江苏,0.0,6.09,8.73,30623.69,15753.88,3570.58,88342.24,1.01,-0.455,-0.23,-13.19,19951213,-203414.23,-2.33,-48.07,-299.08,21.27,-1203.72,83945.0,0.7009345794392373,-2.7088036117381518,1.2925969447708512,8.62,N
000595,*ST宝实,机械基件,宁夏,109.39,7.45,7.64,146116.95,77994.31,32049.68,45964.98,0.6,0.031,0.9,5.06,19960419,-50663.55,-0.66,104.6,143.24,17.31,8.76,50265.0,-4.766839378238351,-1.1827956989247441,-8.648111332007963,9.19,N
000629,*ST钒钛,普钢,四川,0.0,47.67,85.9,1047323.31,429526.09,468832.44,553912.31,0.64,0.10099999999999999,0.5,0.0,19961115,-1126974.13,-1.31,-11.07,114.42,17.74,9.15,309056.0,5.714285714285701,6.584362139917682,12.608695652173916,2.59,N
000659,*ST中富,广告包装,广东,49.94,12.86,12.86,264702.72,76790.2,138444.3,27854.08,0.22,0.073,0.51,7.13,19961203,-134096.3,-1.04,-0.29,116.39,21.27,5.82,57900.0,0.16556291390728123,4.4905008635578545,-1.94489465153971,6.05,N
000693,*ST华泽,小金属,四川,0.0,2.77,5.43,379029.72,309985.56,32259.19,-3052.87,-0.06,-0.213,1.36,5.53,19970226,7345.77,0.14,-80.55,-27.27,-0.12,-33.05,65669.0,0.0,0.0,0.0,0.0,N
000737,*ST南风,日用化工,山西,0.0,5.49,5.49,261645.09,126275.27,89756.36,62588.38,1.14,-0.7659999999999999,-0.46,-8.25,19970428,-151425.56,-2.76,-12.3,-2108.29,19.79,-22.46,52900.0,-2.6819923371647505,-5.693069306930693,10.91703056768559,7.62,N
000755,*ST三维,化工原料,山西,0.0,4.69,4.69,487311.31,119778.88,333353.13,112936.02,2.41,-0.721,0.43,14.55,19970627,-153010.06,-3.26,-42.32,21.42,-1.19,-19.7,46482.0,-4.04624277456647,-6.002265005662506,2.595797280593336,8.3,N
000780,*ST平能,煤炭开采,内蒙,16.14,10.14,10.14,585591.81,414574.75,75379.03,144955.09,1.43,0.22899999999999998,4.31,1.14,19970606,110830.02,1.09,46.37,159.64,46.42,11.49,51132.0,-2.508361204013384,-4.269293924466335,1.2152777777777828,5.83,N
000803,*ST金宇,纺织,四川,116.33,1.28,1.28,130470.27,55862.51,6727.43,2009.93,0.16,0.17,0.65,30.41,19980303,-9406.57,-0.74,313.9,135.27,33.19,7.2,5703.0,0.0,0.0,-5.495495495495491,20.98,N
000809,*ST新城,区域地产,辽宁,57.94,8.25,8.25,601702.38,558943.5,24807.6,3199.37,0.04,0.044000000000000004,3.69,0.93,19980616,198678.25,2.41,319.12,132.52,11.98,57.87,30380.0,-1.9305019305019238,-2.868068833652014,-4.150943396226411,5.08,N
000912,*ST天化,农药化肥,四川,0.0,5.85,5.85,732886.75,105254.55,570510.0,97935.56,1.67,-0.204,0.0,9624.79,19990603,-205039.55,-3.5,29.72,68.29,11.25,-4.22,72468.0,0.0,0.0,0.0,0.0,N
000922,*ST佳电,电气设备,黑龙江,34.33,4.58,5.44,274840.16,193184.66,48598.89,114204.02,2.1,0.222,2.86,2.66,19990618,-25215.68,-0.46,25.4,127.6,29.23,7.59,37198.0,-7.654320987654319,-8.183306055646481,-4.020530367835748,11.22,N
000950,*ST建峰,农药化肥,重庆,0.0,5.99,17.28,1562395.13,1296451.63,48986.46,259775.59,1.5,0.53,3.8,0.0,19990916,193228.36,1.12,1.16,758.44,9.07,5.2,30624.0,6.73400673400673,8.068181818181808,8.685714285714283,9.51,N
000953,*ST河化,农药化肥,广西,84.34,2.94,2.94,81787.81,29498.33,51019.76,12456.82,0.42,0.1,0.08,106.64,19991202,-43511.09,-1.48,-44.55,120.78,-1.94,13.34,30842.0,-11.514683153013912,-17.685118619698066,-20.20905923344948,11.45,N
000972,*ST中基,食品,新疆,83.67,7.71,7.71,244532.97,127372.1,75840.31,107309.3,1.39,0.048,1.14,3.48,20000926,-106511.77,-1.38,-11.98,114.44,16.92,7.09,48500.0,-1.7187500000000049,-5.555555555555557,2.610114192495924,6.29,N
000982,*ST 中绒,纺织,宁夏,0.0,18.05,18.05,1158383.63,485928.59,538752.44,202861.23,1.12,-0.213,0.82,3.63,20000706,-236222.7,-1.31,-30.01,-19.36,17.08,-23.35,39741.0,0.0,0.0,0.0,0.0,N
002070,*ST众和,纺织,福建,0.0,5.67,6.35,265832.47,118486.31,58933.8,0.0,0.0,-0.222,0.81,5.12,20061012,-14963.8,-0.24,-12.43,-372.97,7.42,-24.19,75030.0,-0.1369863013698601,7.20588235294118,10.958904109589037,14.58,N
002134,*ST普林,元器件,天津,147.26,2.46,2.46,63425.26,30715.7,22863.67,30227.18,1.23,0.057999999999999996,1.78,4.77,20070516,-13121.37,-0.53,17.08,114.36,11.94,3.29,14516.0,0.0,0.0,0.7138221933809178,15.52,N
002207,*ST准油,石油开采,新疆,30.32,2.2,2.39,77163.06,26852.25,14279.45,22058.7,0.92,0.187,1.58,4.78,20080128,-12541.58,-0.52,-13.67,159.48,6.06,33.6,34386.0,-1.9836639439906643,-8.3469721767594,-2.5522041763340937,16.8,N
002248,*ST东数,机床制造,山东,83.96,3.07,3.07,154345.59,59402.88,66255.27,73444.4,2.39,0.121,2.21,4.58,20080612,-43246.23,-1.41,-33.86,115.94,-14.7,33.48,26831.0,0.0,0.09337068160597373,6.1386138613861485,10.72,N
002306,*ST云网,酒店餐饮,北京,0.0,7.99,8.0,9350.9,7038.08,483.25,28892.1,0.36,-0.015,-0.02,-184.45,20091111,-113806.27,-1.42,-4.47,34.33,44.89,-17.03,60322.0,1.351351351351349,-1.026392961876837,-7.786885245901643,6.75,N
002312,*ST三泰,电脑设备,四川,17.92,10.83,14.05,396884.91,218490.77,23046.72,282424.5,2.01,0.29,2.42,2.81,20091203,-70245.71,-0.5,-18.95,247.73,12.95,70.53,110000.0,-3.4355828220858924,0.5108556832694768,3.552631578947375,7.87,N
002473,*ST圣莱,家用电器,浙江,0.0,1.6,1.6,42893.6,22823.99,11201.61,22315.42,1.39,-0.102,1.92,3.84,20100910,-5038.12,-0.31,22.04,16.85,14.36,-19.78,9298.0,-0.99378881987577,0.2515723270440198,-5.866141732283459,23.91,N
002490,*ST墨龙,化工机械,山东,98.79,3.06,7.98,622280.31,262523.03,289187.59,86051.74,1.08,0.048,2.34,2.01,20101021,3593.43,0.05,93.66,106.21,7.71,1.28,41239.0,2.162162162162152,-7.23926380368099,-9.461077844311378,7.56,N
002504,*ST弘高,装修装饰,北京,26.3,4.15,10.26,628759.31,602814.81,1169.28,18667.13,0.18,0.1,1.16,3.03,20101118,89535.0,0.87,-42.35,-54.31,19.61,6.07,65425.0,-0.8588957055214759,1.8915510718789452,8.894878706199464,8.08,N
002571,*ST德力,玻璃,安徽,58.89,2.53,3.92,188348.5,74264.34,55128.53,90443.11,2.31,0.129,3.9,1.95,20110412,16837.39,0.43,-8.71,182.5,20.22,6.35,17916.0,-6.694312796208525,2.0077720207253917,2.0077720207253917,15.75,N
600112,*ST天成,电气设备,贵州,98.69,5.09,5.09,277919.69,100442.11,32481.96,55598.6,1.09,0.033,2.32,1.87,19971127,8197.6,0.16,15.75,206.03,25.37,3.51,46270.0,-3.256212510711232,8.976833976833975,10.25390624999999,11.29,N
600121,*ST郑煤,煤炭开采,河南,8.95,10.15,10.15,1126061.75,472397.41,444159.09,44367.87,0.44,0.618,3.26,1.7,19980107,99853.53,0.98,-39.83,199.9,34.97,10.98,46200.0,7.352941176470577,5.415162454873643,11.877394636015328,5.84,N
600145,*ST新亿,陶瓷,新疆,551.09,14.91,14.91,88046.0,88037.11,8.41,151497.56,1.02,0.003,0.42,4.5,19990923,-242248.02,-1.62,0.0,-83.91,0.16,1.11,32779.0,0.0,0.0,0.0,0.0,N
600149,*ST坊展,综合类,河北,0.0,3.8,3.8,20327.82,6159.6,1158.54,10597.37,0.28,-0.013999999999999999,0.47,17.53,19991014,-35422.14,-0.93,14.62,64.53,2.12,-28.69,59018.0,-2.7906976744186114,-9.523809523809536,-3.1061659712563823,20.9,N
600225,*ST松江,区域地产,天津,7.3,9.32,9.35,1338208.5,1065773.25,13454.62,114847.55,1.23,0.423,1.95,2.11,20000127,-41538.8,-0.44,-38.75,174.78,17.33,42.18,26556.0,0.0,0.0,0.0,0.0,N
600228,*ST昌九,化工原料,江西,0.0,2.41,2.41,47284.55,17731.17,21644.6,33698.3,1.4,-0.084,0.02,453.74,19990119,-60322.85,-2.5,30.32,14.24,7.1,-5.17,21587.0,-7.201516108654457,-6.670902160101656,-11.718750000000007,14.69,N
600275,*ST昌鱼,农业综合,湖北,0.0,5.09,5.09,29284.85,887.3,4001.18,13208.38,0.26,-0.055999999999999994,0.23,20.3,20000810,-55132.88,-1.08,-44.23,-23.43,40.6,-671.29,49611.0,6.763636363636362,1.1716057891109575,0.1364256480218252,14.68,N
600401,*ST海润,半导体,江苏,0.0,47.25,47.25,1572472.13,605879.06,638495.88,125456.07,0.27,-0.187,0.61,1.43,20030924,-308286.0,-0.65,-36.43,-2051.03,6.21,-36.63,237424.0,-0.42553191489362685,0.0,3.0837004405286272,2.34,N
600403,*ST大有,煤炭开采,河南,22.99,23.91,23.91,1644093.63,687563.88,704644.88,32854.75,0.14,0.201,2.94,1.57,20031009,370916.44,1.55,31.91,124.48,35.97,7.03,21839.0,0.17985611510792582,0.5415162454873691,3.3395176252319225,5.57,N
600423,*ST柳化,农药化肥,广西,31.34,3.99,3.99,320368.16,75176.95,200443.92,50930.59,1.28,0.154,0.1,49.93,20030717,-96691.71,-2.42,-11.86,107.54,5.42,3.36,29100.0,2.038216560509556,6.657789613848203,0.7547169811320705,8.01,N
600425,*ST青松,水泥,新疆,1502.63,13.79,13.79,997086.13,183720.94,584453.56,320171.16,2.32,0.002,2.9,1.22,20030724,-71445.13,-0.52,7.47,101.31,17.35,0.15,90000.0,-1.963746223564953,-7.943262411347512,23.38403041825096,6.49,N
600432,*ST吉恩,小金属,吉林,0.0,16.04,16.04,1373541.75,297409.28,768094.25,626871.94,3.91,-0.59,0.88,0.0,20030905,-549617.19,-3.43,9.91,-56.24,15.12,-42.86,70654.0,14.910858995137763,17.970049916805326,19.763513513513512,7.09,N
600540,*ST新赛,种植业,新疆,210.0,4.71,4.71,225724.66,125487.05,72374.93,80475.07,1.71,0.024,1.33,3.73,20040107,-69163.21,-1.47,4.98,102.34,9.76,1.01,27714.0,-0.12269938650306486,-2.5149700598802287,9.408602150537636,8.14,N
600608,*ST沪科,钢加工,上海,41.37,3.18,3.29,18964.45,18940.75,23.7,44866.9,1.36,0.19,0.18,43.84,19920327,-76552.15,-2.33,78.77,361.89,0.32,13.26,23017.0,-9.830932999373827,-9.376966645689114,5.109489051094899,14.4,N
600636,*ST爱富,化工原料,上海,39.04,4.26,4.47,505800.69,250760.63,137403.94,149913.05,3.35,0.27,5.82,2.42,19930316,56670.5,1.27,29.19,164.44,16.66,2.91,43452.0,0.0,0.0,0.0,0.0,N
600654,*ST中安,软件服务,上海,0.0,7.55,12.83,992004.13,492876.66,71476.05,100610.03,0.78,-0.08800000000000001,2.27,1.35,19901219,38456.42,0.3,-2.73,-141.07,24.37,-5.05,131349.0,0.0,0.0,0.0,0.0,N
600680,*ST上普,通信设备,上海,0.0,2.57,3.82,278927.59,164482.06,9254.46,86835.21,2.27,-0.466,1.63,3.96,19931018,-74734.24,-1.96,-36.11,-360.78,18.85,-54.49,43734.0,0.48465266558966763,-5.18292682926828,-2.2627278441231895,31.1,N
600747,*ST大控,多元金融,辽宁,45.93,10.64,14.64,237582.34,219704.75,7526.17,99619.9,0.68,0.032,1.36,1.46,19960916,-58221.8,-0.4,-44.45,189.68,1.7,5.41,72257.0,0.0,0.0,0.0,0.0,N
600767,*ST运盛,医疗保健,上海,50.26,3.41,3.41,52422.64,29228.35,226.03,3730.71,0.11,0.127,0.78,8.18,19961115,-11693.91,-0.34,20.28,176.34,57.16,38.29,37290.0,-1.184668989547038,-0.07047216349541781,10.954616588419409,14.18,N
600806,*ST昆机,机床制造,云南,0.0,3.9,5.31,193646.66,121889.97,45542.53,1976.5,0.04,-0.379,0.41,0.0,19940103,-45091.93,-0.85,21.07,-23.37,3.6,-51.43,33099.0,6.479217603911994,6.090133982947624,9.011264080100132,8.71,N
600815,*ST厦工,工程机械,福建,26.67,9.59,9.59,723271.44,539736.31,69866.92,205703.02,2.15,0.114,0.55,7.3,19940128,-275724.47,-2.88,35.52,120.75,9.92,3.27,50659.0,-0.13850415512465078,3.741007194244601,15.916398713826371,7.21,N
600817,*ST宏盛,多元金融,陕西,0.0,1.56,1.61,16673.82,5375.68,0.13,21228.23,1.32,-0.006999999999999999,0.6,14.77,19940128,-28443.15,-1.77,-56.17,-23.05,93.88,-23.64,8612.0,2.9842012873025254,2.923976608187134,-6.283280085197016,17.6,N
600847,*ST万里,电气设备,重庆,487.0,1.53,1.53,89503.25,27793.4,28430.0,64967.96,4.24,0.019,4.38,2.87,19940324,-13140.85,-0.86,74.35,305.84,11.79,0.94,8522.0,2.3765996343692852,4.624007473143384,4.234527687296418,22.4,N
600860,*ST京城,专用机械,北京,136.3,3.22,4.22,192506.2,96937.67,65728.93,68734.9,1.63,0.049,1.39,4.83,19940506,-56779.35,-1.35,35.3,114.03,16.17,1.73,16353.0,2.4520255863539298,2.780748663101602,3.1115879828326087,9.61,N
600871,*ST油服,石油开采,北京,0.0,120.43,189.84,6194263.0,3182235.5,2558251.0,890786.81,0.47,-0.75,-0.15,-13.56,19950411,-2555601.75,-1.35,12.96,34.33,-5.14,-21.83,163687.0,-0.7672634271099807,-0.5128205128205133,1.305483028720622,3.88,N
601106,*ST一重,工程机械,黑龙江,428.0,65.38,68.58,3336356.0,2295014.5,602104.94,842888.88,1.23,0.01,1.41,2.44,20100209,-592234.56,-0.86,177.6,102.12,16.4,0.63,376712.0,-1.5317286652078836,-1.5317286652078836,1.1235955056179734,4.5,N
601519,*ST智慧,软件服务,上海,13.04,19.88,19.88,197639.05,87044.99,3018.25,114406.56,0.58,0.22399999999999998,0.69,5.63,20110128,-180965.8,-0.91,-8.21,161.7,56.95,94.0,136427.0,-0.594353640416048,-3.323699421965311,6.1904761904762,6.69,N
601558,*ST锐电,电气设备,北京,76.17,57.07,60.31,670695.19,543119.31,76785.72,533288.5,0.88,0.019,0.22,6.74,20110113,-1055475.0,-1.75,-85.11,103.7,18.01,81.59,256012.0,-0.45045045045046084,-1.7777777777777795,0.4545454545454448,2.21,N
